feature_ID,Z_statistic,p_value,median_pacientes,median_sanos,mean_pacientes,mean_sanos,significativo_0_05
82,0.6412813969431512,0.5213398735340204,0.0,0.0,0.09168872552184706,0.04444444444444396,False
31,0.5336537499037413,0.593581113355555,0.316648923432707,0.2564527083552612,0.3693370928391268,0.3515330451541871,False
107,-0.5246847793171238,0.5998023399346937,0.0,0.0,0.0,0.06666666666666198,False
65,-0.5157158087305063,0.6060529116707611,0.4969606048140546,0.4969606048140546,0.3569480955170598,0.3865249148553759,False
125,0.4977778675572712,0.6186406172812118,0.9999999999999443,0.9999999999999443,0.9743589743589199,0.9111111111110602,False
14,-0.4932933822639625,0.6218053036734876,0.4771014356085158,0.519069935180656,0.4593483665345612,0.4984927253906893,False
127,0.4888088969706537,0.624976998617746,0.3802646291484889,0.3670562031795437,0.3840104359062652,0.3514835478888038,False
115,0.3991191911044787,0.6898053822251053,0.441017668885022,0.4484524008106254,0.4363968548120311,0.41965817452942,False
13,-0.3811812499312437,0.7030687611353663,0.8468281743240453,0.8753654790534805,0.7915967587431505,0.8006897800255606,False
91,-0.3363363969981562,0.7366172061350037,0.5384791141660982,0.5097769146037846,0.5212250315654128,0.5400509863287122,False
73,0.3363363969981562,0.7366172061350037,0.513151738733737,0.494194036037324,0.4938924208753031,0.4790422763700416,False
7,0.3363363969981562,0.7366172061350037,0.0641562871386458,0.05900510873423778,0.1113349076260592,0.06670885359592127,False
1,0.3004605146516862,0.7638259105441062,0.5162772425862464,0.5308195304984418,0.522035903888167,0.5173791549971078,False
8,0.2645846323052162,0.7913294599905809,0.03692710414149263,0.03903988548823142,0.09347753389685483,0.04266146178433889,False
103,-0.2287087499587462,0.8190952935504228,0.4121949331130411,0.4252525336605023,0.3969627258754097,0.3967437912788335,False
59,0.2242242646654375,0.8225828036394107,0.6626043690147072,0.3292869395312663,0.4919823915836229,0.5000106278107475,False
142,0.2018018381988937,0.8400716444402775,0.0,0.0,0.02564102564102512,0.0,False
88,-0.2018018381988937,0.8400716444402775,0.0,0.0,0.2051282051282029,0.2164104632797412,False
136,0.2018018381988937,0.8400716444402775,0.0,0.0,0.02564102564102553,0.0,False
139,0.1569569852658062,0.8752787486176868,0.3733929065561802,0.4021369866685081,0.390888479555401,0.3747639370741681,False
52,-0.1479880146791887,0.882352226991577,0.0,0.0,0.02222287507101894,0.09437534171504199,False
47,0.1390190440925712,0.8894351001648813,0.0,0.0,0.179175563576646,0.1214795376355045,False
97,0.1031431617461012,0.9178493495561222,0.5153929834443743,0.4917876089103013,0.4914171267813283,0.4886197882847115,False
133,-0.09417419115948374,0.9249707861129906,0.3533157936048891,0.3713830017894085,0.3673592171770488,0.3591738436739338,False
76,0.07175176469293999,0.9427994600202324,0.0,0.0,0.05128205128205074,0.03281141137152369,False
58,-0.06726727939963124,0.94636892512424,0.9999999999999898,0.9015180124480889,0.5897435897435837,0.6384984570764216,False
19,-0.06726727939963124,0.94636892512424,0.3922255602296682,0.4059354901743893,0.4008755740469362,0.3934011102302528,False
100,-0.05829830881301375,0.9535110145975918,0.0,0.0,0.1420548288578132,0.1646909948593507,False
109,-0.04932933822639625,0.9606568394482558,0.3883462815241674,0.3960308167662814,0.3816439429138643,0.3814702449757043,False
145,-0.04036036763977875,0.9678058265286753,0.4092000058328673,0.4750538521675923,0.4412874729573317,0.4281317982476708,False
89,0.04036036763977875,0.9678058265286753,0.0,0.0,0.2051282051281858,0.1999999999999812,False
12,-0.03139139705316125,0.9749574019288162,0.00404603599897745,0.00404603599897745,0.1882798503255848,0.2376806695705085,False
119,-0.0269069117598525,0.9785339807274146,0.99999999999994,0.99999999999994,0.9743589743589164,0.9777777777777193,False
113,0.0,1.0,0.0,0.0,0.0,0.0,False
118,0.0,1.0,0.0,0.0,0.0,0.0,False
83,0.0,1.0,0.0,0.0,0.0,0.0,False
70,0.0,1.0,0.0,0.0,0.0,0.0,False
95,0.0,1.0,0.0,0.0,0.0,0.0,False
101,0.0,1.0,0.0,0.0,0.0,0.0,False
124,0.0,1.0,0.0,0.0,0.0,0.0,False
143,0.0,1.0,0.0,0.0,0.0,0.0,False
130,0.0,1.0,0.0,0.0,0.0,0.0,False
137,0.0,1.0,0.0,0.0,0.0,0.0,False
148,0.0,1.0,0.0,0.0,0.0,0.0,False
154,0.0,1.0,0.0,0.0,0.0,0.0,False
155,0.0,1.0,0.0,0.0,0.0,0.0,False
160,0.0,1.0,0.0,0.0,0.0,0.0,False
161,0.0,1.0,0.0,0.0,0.0,0.0,False
